tx_nb_corto_lugar,tx_lat,tx_long,tx_nb_lugar, esAlias,esHoja,Padre,Siguiente,Anterior,Km_rang,Km_aprox,Nivel,cod_rutaraiz
kilometro 5,,,,0,1,a_km 5,,,,,3,a_pnm
km. 5,,,,0,1,a_km 5,,,,,3,a_pnm
a_la vega,10.43692,-66.94576,Entrada Sector La Vega,1,0,a_pnm,a_km 6,a_km 4,Km 0-5,a_km 5,2,a_pnm
la vega,,,,0,1,a_la vega,,,,,3,a_pnm
lavega,,,,0,1,a_la vega,,,,,3,a_pnm
a_km 6,10.433151,-66.948177,Kilómetro 6,1,0,a_pnm,a_km 7,a_km 5,Km 6-10,a_km 6,2,a_pnm
km 6,,,,0,1,a_km 6,,,,,3,a_pnm
km. 6,,,,0,1,a_km 6,,,,,3,a_pnm
kilometro 6,,,,0,1,a_km 6,,,,,3,a_pnm
km6,,,,0,1,a_km 6,,,,,3,a_pnm
a_km 7,10.42525,-66.94724,Kilómetro 7,1,0,a_pnm,a_km 8,a_km 6,Km 6-10,a_km 7,2,a_pnm
km 7,,,,0,1,a_km 7,,,,,3,a_pnm
km. 7,,,,0,1,a_km 7,,,,,3,a_pnm
kilometro 7,,,,0,1,a_km 7,,,,,3,a_pnm
km7,,,,0,1,a_km 7,,,,,3,a_pnm
a_km 8,10.42009,-66.95434,Kilómetro 8,1,0,a_pnm,a_km 9,a_km 7,Km 6-10,a_km 8,2,a_pnm
km 8,,,,0,1,a_km 8,,,,,3,a_pnm
km. 8,,,,0,1,a_km 8,,,,,3,a_pnm
kilometro 8,,,,0,1,a_km 8,,,,,3,a_pnm
km8,,,,0,1,a_km 8,,,,,3,a_pnm
a_iut,10.42038,-66.95423,IUT,1,0,a_pnm,a_km 9,a_km 7,Km 6-10,a_km 8,2,a_pnm
iut,,,,0,1,a_iut,,,,,3,a_pnm
iutrc,,,,0,1,a_iut,,,,,3,a_pnm
a_km 9,10.41122,-66.95799,Kilómetro 9,1,0,a_pnm,a_km 10,a_km 8,Km 6-10,a_km 9,2,a_pnm
km 9,,,,0,1,a_km 9,,,,,3,a_pnm
km. 9,,,,0,1,a_km 9,,,,,3,a_pnm
kilometro 9,,,,0,1,a_km 9,,,,,3,a_pnm
km9,,,,0,1,a_km 9,,,,,3,a_pnm
a_bosque dorado,10.40977,-66.96003,Hotel Bosque Dorado,1,0,a_pnm,a_km 10,a_km 8,Km 6-10,a_km 9,2,a_pnm
bosque dorado,,,,0,1,a_bosque dorado,,,,,3,a_pnm
a_km 10,10.40555,-66.96334,Kilómetro 10,1,0,a_pnm,a_km 11,a_km 9,Km 6-10,a_km 10,2,a_pnm
km 10,,,,0,1,a_km 10,,,,,3,a_pnm
km. 10,,,,0,1,a_km 10,,,,,3,a_pnm
kilometro 10,,,,0,1,a_km 10,,,,,3,a_pnm
km10,,,,0,1,a_km 10,,,,,3,a_pnm
a_orquidea,10.40555,-66.96334,Hotel La Orquídea,1,0,a_pnm,a_km 11,a_km 9,Km 6-10,a_km 10,2,a_pnm
orquidea,,,,0,1,a_orquidea,,,,,3,a_pnm
a_km 11,10.39824,-66.96503,Kilómetro 11,1,0,a_pnm,a_km 12,a_km 10,Km 11-15,a_km 11,2,a_pnm
km 11,,,,0,1,a_km 11,,,,,3,a_pnm
km. 11,,,,0,1,a_km 11,,,,,3,a_pnm
kilometro 11,,,,0,1,a_km 11,,,,,3,a_pnm
km11,,,,0,1,a_km 11,,,,,3,a_pnm
a_ivic,10.39824,-66.96503,IVIC,1,0,a_pnm,a_km 12,a_km 10,Km 11-15,a_km 11,2,a_pnm
ivic,,,,0,1,a_ivic,,,,,3,a_pnm
a_km 12,10.38738,-66.96340,Kilómetro 12,1,0,a_pnm,a_km 13,a_km 11,Km 11-15,a_km 12,2,a_pnm
km 12,,,,0,1,a_km 12,,,,,3,a_pnm
km. 12,,,,0,1,a_km 12,,,,,3,a_pnm
kilometro 12,,,,0,1,a_km 12,,,,,3,a_pnm
km12,,,,0,1,a_km 12,,,,,3,a_pnm
a_las salias,10.38738,-66.96340,Sector Las Salias,1,0,a_pnm,a_km 13,a_km 11,Km 11-15,a_km 12,2,a_pnm
las salias,,,,0,1,a_las salias,,,,,3,a_pnm
a_km 13,10.38072,-66.96398,Kilómetro 13,1,0,a_pnm,a_km 14,a_km 12,Km 11-15,a_km 13,2,a_pnm
km 13,,,,0,1,a_km 13,,,,,3,a_pnm
km. 13,,,,0,1,a_km 13,,,,,3,a_pnm
kilometro 13,,,,0,1,a_km 13,,,,,3,a_pnm
km13,,,,0,1,a_km 13,,,,,3,a_pnm
a_oveja negra,10.38072,-66.96398,C.C Oveja Negra,1,0,a_pnm,a_km 14,a_km 12,Km 11-15,a_km 13,2,a_pnm
oveja negra,,,,0,1,a_oveja negra,,,,,3,a_pnm
